date,SPY,TLT,GLD,SHY
2005-02-02,80.47960662841797,45.56683349609375,42.15999984741211,53.905765533447266
2005-02-03,80.27041625976562,45.54191970825195,41.68000030517578,53.87258529663086
2005-02-04,81.12737274169922,46.17485046386719,41.470001220703125,53.92570495605469
2005-02-07,81.0194091796875,46.518760681152344,41.27000045776367,53.91236877441406
2005-02-08,81.1138916015625,46.78286361694336,41.2599983215332,53.892478942871094
2005-02-09,80.506591796875,46.90750503540039,41.310001373291016,53.99203872680664
2005-02-10,80.79669952392578,46.274532318115234,41.75,53.952247619628906
2005-02-11,81.49172973632812,46.24464797973633,42.08000183105469,53.92570495605469
2005-02-14,81.4310302734375,46.38915252685547,42.54999923706055,53.899131774902344
2005-02-15,81.73468017578125,46.15492248535156,42.58000183105469,53.905765533447266
